Formula,Co,Ti,Zr,Cr,MaxFWHM,Group,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant d electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg d valence electrons,frac s valence electrons,frac d valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,band center,HOMO_energy,LUMO_energy,Co_Ti_product,Ti_Zr_product,Zr_Cr_product,Group_Miedema_deltaH_inter_product,Miedema_deltaH_inter_Miedema_deltaH_amor_product,Miedema_deltaH_amor_Miedema_deltaH_ss_min_product,Miedema_deltaH_ss_min_Yang delta_product,Yang delta_Yang omega_product,Yang omega_APE mean_product,APE mean_Radii local mismatch_product,Radii local mismatch_Radii gamma_product,Radii gamma_Configuration entropy_product,Configuration entropy_Atomic weight mean_product,Atomic weight mean_Total weight_product,Total weight_Lambda entropy_product,Lambda entropy_Electronegativity delta_product,Electronegativity delta_Electronegativity local mismatch_product,Electronegativity local mismatch_VEC mean_product,VEC mean_Mixing enthalpy_product,Mixing enthalpy_Mean cohesive energy_product,Mean cohesive energy_Interant electrons_product,Interant electrons_Interant s electrons_product,Interant s electrons_Interant d electrons_product,Interant d electrons_Shear modulus mean_product,Shear modulus mean_Shear modulus delta_product,Shear modulus delta_Shear modulus local mismatch_product,Shear modulus local mismatch_Shear modulus strength model_product,Shear modulus strength model_mean AtomicWeight_product,mean AtomicWeight_mean Column_product,mean Column_mean Row_product,mean Row_range Number_product,range Number_mean Number_product,mean Number_range AtomicRadius_product,range AtomicRadius_mean AtomicRadius_product,mean AtomicRadius_range Electronegativity_product,range Electronegativity_mean Electronegativity_product,mean Electronegativity_avg s valence electrons_product,avg s valence electrons_avg d valence electrons_product,avg d valence electrons_frac s valence electrons_product,frac s valence electrons_frac d valence electrons_product,frac d valence electrons_mean simul. packing efficiency_product,mean simul. packing efficiency_mean abs simul. packing efficiency_product,mean abs simul. packing efficiency_dist from 1 clusters |APE| < 0.010_product,dist from 1 clusters |APE| < 0.010_dist from 3 clusters |APE| < 0.010_product,dist from 3 clusters |APE| < 0.010_dist from 5 clusters |APE| < 0.010_product,dist from 5 clusters |APE| < 0.010_band center_product,band center_HOMO_energy_product,HOMO_energy_LUMO_energy_product,Co_Ti_Zr_product,All_Miedema_product,Co_Ti_Zr_Cr_product,Yang delta_Yang omega_APE mean_product
Co0.048417927Ti0.216790384Zr0.734791688Cr0.0,0.048417927,0.216790384,0.734791688,0,0.433847616,3,-0.117120253,-0.039484132,-0.05958947,0.059411878,1.729498054,-0.002845487,3.90121754,1.14700056,-0.005857028,80.26116547,80.26116539,-1.659322408,0.101562988,0.128101223,4.242089635,7.010255415,5.856436118,11,0,11,37.31441995,0.243175885,2.721749139,-0.019081439,80.26116547,4.242089635,4.734791689,18,35.46834003,0.2,1.507797857,0.55,1.402155841,2,2.242089635,0.471465757,0.528534243,-0.002845487,0.017355776,0.024840698,0.073791385,0.095444265,3.546040261,-0.162391,-0.162391,0.010496541,0.159295772,0,-0.35136076,0.004624392,0.002352838,-0.003540322,0.102752727,-0.004921264,-0.011100863,4.474698702,-0.006718015,-0.470091929,6441.854676,-133.1791502,-0.168525742,0.013010343,0.54341687,29.73813184,41.05511301,64.4207973,0,0,410.4586195,9.073967097,0.661863756,-0.051934889,-1.531498502,340.4750582,20.08541075,85.2262504,638.4301206,7.093668006,0.301559571,0.829288821,0.771185712,2.804311681,4.48417927,1.057068487,0.249185797,-0.001503937,-4.94E-05,0.00043113,0.00183303,0.007042965,0.338449207,-0.575845024,0.026370837,0.007712771,-0.000275565,0,-0.000292382
Co0.054622958Ti0.267907941Zr0.6774691Cr0.0,0.054622958,0.267907941,0.6774691,0,0.405629911,3,-0.131967232,-0.054476938,-0.070550711,0.062793161,1.721614318,0.006225584,4.373943432,1.147387669,-0.006447263,77.8444961,77.84449603,-1.635124137,0.105763448,0.143607729,4.27311479,7.707879583,5.77333018,11,0,11,37.84257996,0.252328776,3.051009427,-0.020789903,77.8444961,4.27311479,4.677469101,18,34.4675586,0.2,1.498889217,0.55,1.416303295,2,2.27311479,0.468042657,0.531957343,0.006225584,0.015666064,0.016226036,0.06363077,0.079504107,3.546248845,-0.162391,-0.162391,0.014633924,0.181499352,0,-0.395901697,0.007189171,0.003843387,-0.004430102,0.108105604,0.010718054,0.02723035,5.01860876,-0.007397511,-0.501883974,6059.765568,-127.2854144,-0.172936367,0.015188449,0.613652311,32.93665425,44.50013382,63.50663198,0,0,416.2683796,9.548771899,0.769857476,-0.063430189,-1.618379507,332.6384676,19.9873624,84.19444381,620.4160548,6.89351172,0.299777843,0.824389069,0.778966812,2.832606589,4.546229581,1.063914686,0.248978728,0.003311745,9.75E-05,0.000254198,0.001032475,0.005058908,0.281941348,-0.575878896,0.026370837,0.009914031,-0.000507201,0,0.00067302
Co0.054635687Ti0.253980791Zr0.691383522Cr0.0,0.054635687,0.253980791,0.691383522,0,0.419889897,3,-0.131946119,-0.05424253,-0.070231063,0.062393145,1.684987288,0.004186767,4.292018248,1.14730326,-0.006335866,78.44792453,78.44792453,-1.627541982,0.10593719,0.141826139,4.273178435,7.749129528,5.792804515,11,0,11,37.77069696,0.253049134,3.024741519,-0.020862338,78.44792453,4.273178435,4.691383522,18,34.71808183,0.2,1.500975744,0.55,1.413385594,2,2.273178435,0.468035686,0.531964314,0.004186767,0.015859773,0.030275384,0.06609042,0.08387167,3.547342485,-0.162391,-0.162391,0.013876415,0.175598134,0,-0.395838358,0.007157091,0.003809511,-0.004381937,0.105131657,0.007054649,0.01796968,4.924246528,-0.007269159,-0.497035511,6154.076863,-127.6772906,-0.172417224,0.015024663,0.606048398,33.11341319,44.88919251,63.72084966,0,0,415.4776666,9.557842164,0.765408223,-0.063103181,-1.636607142,335.2219794,20.0471189,84.4449034,624.925473,6.943616366,0.300195149,0.825536659,0.777362077,2.826771188,4.54635687,1.063928628,0.248978283,0.002227211,6.64E-05,0.000480161,0.002000913,0.005543114,0.297521538,-0.576056493,0.026370837,0.009593925,-0.00050265,0,0.000440162
Co0.05460614Ti0.240558639Zr0.70483522Cr0.0,0.05460614,0.240558639,0.70483522,0,0.443055807,3,-0.131829814,-0.053908502,-0.069841028,0.061963791,1.648765054,0.002209713,4.20629378,1.147221503,-0.006219407,79.03082286,79.03082278,-1.619843364,0.10605887,0.139926489,4.2730307,7.783315867,5.811650485,11,0,11,37.69965253,0.253657905,2.996050565,-0.020918895,79.03082286,4.2730307,4.704835221,18,34.96006467,0.2,1.502994976,0.55,1.410550691,2,2.2730307,0.468051868,0.531948132,0.002209713,0.016125659,0.047790417,0.065080552,0.089100351,3.548368533,-0.162391,-0.162391,0.013135979,0.169554201,0,-0.395489443,0.007106748,0.003765025,-0.004327615,0.102163734,0.003643297,0.009294701,4.825550674,-0.007135038,-0.491524861,6245.870955,-128.0175538,-0.171798757,0.014840445,0.597910182,33.25834765,45.23391143,63.92815533,0,0,414.6961778,9.562814862,0.759971908,-0.062674067,-1.653237488,337.7011323,20.10390534,84.68703397,629.2811641,6.992012935,0.300598995,0.826647237,0.77580288,2.821101383,4.546061401,1.063896265,0.248979317,0.001175453,3.56E-05,0.000770652,0.003110227,0.0057987,0.316160882,-0.576223114,0.026370837,0.0092587,-0.000496343,0,0.000225752
Co0.0545349Ti0.227646624Zr0.717818476Cr0.0,0.0545349,0.227646624,0.717818476,0,0.444933333,3,-0.131619122,-0.05347634,-0.069382017,0.061507974,1.613026517,0.000295481,4.117416144,1.147142427,-0.006098568,79.5929495,79.5929495,-1.611999923,0.106129723,0.137923387,4.2726745,7.810414862,5.829859812,11,0,11,37.62949802,0.254155877,2.965162701,-0.020959613,79.5929495,4.2726745,4.717818476,18,35.19340707,0.2,1.504946026,0.55,1.407799986,2,2.2726745,0.468090888,0.531909112,0.000295481,0.016456142,0.03394446,0.065780886,0.090135711,3.549326923,-0.162391,-0.162391,0.012414686,0.163408953,0,-0.394857367,0.007038509,0.003710296,-0.004267547,0.099213993,0.000476619,0.001216618,4.723262747,-0.006995926,-0.485403001,6335.03761,-128.3038285,-0.171081106,0.014637771,0.589301739,33.37136042,45.53362372,64.12845794,0,0,413.9244782,9.563758063,0.753613526,-0.062148662,-1.6682374,340.0747657,20.1577027,84.92073257,633.4813272,7.038681414,0.300989205,0.827720315,0.774289992,2.815599972,4.545349,1.063818224,0.248981809,0.000157169,4.86E-06,0.000558595,0.002232897,0.005929207,0.319921105,-0.576378748,0.026370837,0.008911491,-0.000488346,0,2.93E-05
Co0.054422905Ti0.215246711Zr0.730330384Cr0.0,0.054422905,0.215246711,0.730330384,0,0.457524701,3,-0.131315275,-0.052948089,-0.068856107,0.061028505,1.577835928,-0.001555248,4.026004518,1.147066043,-0.005974011,80.13418894,80.13418894,-1.603986002,0.106151236,0.135831138,4.272114525,7.830466328,5.847428001,11,0,11,37.56028332,0.254544544,2.932304977,-0.020984651,80.13418894,4.272114525,4.730330384,18,35.41806144,0.2,1.506828412,0.55,1.405134407,2,2.272114525,0.468152244,0.531847756,-0.001555248,0.016843828,0.019783569,0.068353348,0.092155815,3.550218082,-0.162391,-0.162391,0.011714351,0.157201213,0,-0.393945825,0.006952893,0.003645799,-0.004202185,0.096292968,-0.002453925,-0.006261434,4.618093073,-0.006852586,-0.478722554,6421.488237,-128.5341174,-0.170265096,0.014418643,0.580286178,33.45264894,45.78808807,64.32170801,0,0,413.1631165,9.560765188,0.746402233,-0.061533395,-1.681587952,342.3424325,20.20851314,85.14594691,637.5251059,7.083612287,0.301365682,0.828755627,0.772823924,2.810268814,4.54422905,1.063695513,0.24898572,-0.000827155,-2.62E-05,0.000333231,0.001352273,0.006299158,0.327173242,-0.576523465,0.026370837,0.008555347,-0.000478749,0,-0.000149759
Co0.054270135Ti0.2033555Zr0.742374365Cr0.0,0.054270135,0.2033555,0.742374365,0,0.460601638,3,-0.130916828,-0.052323353,-0.068263945,0.060527663,1.543263514,-0.003342828,3.932597762,1.146992322,-0.005846325,80.65468924,80.65468924,-1.595787771,0.10612418,0.133661487,4.271350675,7.843402759,5.864359849,11,0,11,37.49198991,0.254823838,2.897651096,-0.02099389,80.65468924,4.271350675,4.742374365,18,35.63408925,0.2,1.508642648,0.55,1.402553229,2,2.271350675,0.468235964,0.531764036,-0.003342828,0.017281803,0.015705847,0.073723935,0.09156729,3.551042211,-0.162391,-0.162391,0.01103613,0.15096591,0,-0.392750485,0.006850007,0.003571799,-0.004131857,0.093410134,-0.005158864,-0.013145996,4.510659438,-0.00670569,-0.471533518,6505.178896,-128.7077667,-0.169351668,0.014184716,0.570915084,33.50192367,45.99653622,64.50795834,0,0,412.411889,9.553852776,0.738390575,-0.060832968,-1.693255673,344.5044613,20.25634395,85.36273857,641.4136064,7.126817849,0.30172853,0.829753456,0.771404276,2.805106459,4.54270135,1.063528072,0.248991046,-0.001777595,-5.78E-05,0.000271425,0.001157897,0.006750701,0.325159313,-0.576657296,0.026370837,0.00819294,-0.000467609,0,-0.000312254
Co0.05407597Ti0.191967767Zr0.753956263Cr0.0,0.05407597,0.191967767,0.753956263,0,0.472450885,3,-0.130420535,-0.051600197,-0.067605491,0.06000736,1.509384676,-0.005068041,3.837679375,1.146921213,-0.005716052,81.15469692,81.15469692,-1.587402858,0.106048806,0.131424463,4.27037985,7.849084706,5.880663822,11,0,11,37.4245644,0.254992547,2.861339567,-0.020987025,81.15469692,4.27037985,4.753956263,18,35.84159258,0.2,1.510389641,0.55,1.400055015,2,2.27037985,0.468342412,0.531657588,-0.005068041,0.017763612,0.025462671,0.07988863,0.094683805,3.551799251,-0.162391,-0.162391,0.010380843,0.1447353,0,-0.391261606,0.006729725,0.003488457,-0.004056827,0.090574189,-0.007649623,-0.019449516,4.401515885,-0.006555862,-0.46388449,6586.084833,-128.8251978,-0.168342177,0.013937407,0.561232379,33.51857317,46.15782847,64.68730204,0,0,411.6702084,9.542984993,0.729620264,-0.060051004,-1.703195621,346.5613825,20.30119903,85.57121273,645.1486665,7.168318517,0.302077928,0.830714303,0.770030258,2.800110029,4.5407597,1.063315176,0.248997797,-0.002694462,-9.00E-05,0.000452309,0.002034178,0.007564159,0.336297868,-0.576780232,0.026370837,0.007826702,-0.000454966,0,-0.000459034
Co0.053838171Ti0.18107061Zr0.765091218Cr0.0,0.053838171,0.18107061,0.765091218,0,0.478797959,3,-0.129818948,-0.050772743,-0.066878407,0.059468557,1.476277944,-0.006733218,3.741599912,1.146852603,-0.005583597,81.63484367,81.63484359,-1.578844076,0.10592406,0.129125835,4.269190855,7.847175527,5.896362148,11,0,11,37.35784505,0.255046644,2.823419756,-0.020963261,81.63484367,4.269190855,4.765091219,18,36.04083279,0.2,1.512071774,0.55,1.397635822,2,2.269190855,0.468472848,0.531527152,-0.006733218,0.018283716,0.039133814,0.079399137,0.095425656,3.552488651,-0.162391,-0.162391,0.00974851,0.138535534,0,-0.389456843,0.006591264,0.0033956,-0.003977162,0.087792119,-0.009940102,-0.025193009,4.2910636,-0.006403562,-0.455816041,6664.247695,-128.8886892,-0.167237575,0.013677533,0.551262834,33.50109,46.26978874,64.85998362,0,0,410.9362955,9.527993021,0.720103735,-0.059188085,-1.711332541,348.5147281,20.34308386,85.77164194,648.7349903,7.208166559,0.302414355,0.831639476,0.768699702,2.795271644,4.538381711,1.063054303,0.249006039,-0.003578888,-0.000123108,0.000715512,0.003107191,0.007576715,0.338998559,-0.576892184,0.026370837,0.0074585,-0.000440813,0,-0.000591124
Co0.05355494Ti0.17065003Zr0.77579503Cr0.0,0.05355494,0.17065003,0.77579503,0,0.484110612,3,-0.129105348,-0.049835948,-0.066081374,0.058912061,1.444000156,-0.008340752,3.644669366,1.146786376,-0.005449326,82.09579452,82.09579452,-1.570125495,0.10574904,0.126770836,4.2677747,7.837400668,5.91147777,11,0,11,37.29168302,0.254982662,2.783939783,-0.020921929,82.09579452,4.2677747,4.77579503,18,36.23208524,0.2,1.513691508,0.55,1.395291723,2,2.2677747,0.468628299,0.531371701,-0.008340752,0.018837113,0.053257242,0.080329722,0.0944086,3.553110247,-0.150673,-0.150673,0.009139152,0.132389445,0,-0.387316045,0.006434087,0.003293228,-0.00389299,0.085069026,-0.012044047,-0.030399283,4.179657173,-0.006249213,-0.44736676,6739.719479,-128.9007,-0.166039264,0.013405894,0.541029368,33.44826028,46.33061982,65.02625547,0,0,410.2085132,9.508732619,0.709856378,-0.05824539,-1.717602368,350.3663549,20.3820172,85.96431054,652.1775343,7.246417048,0.302738302,0.832530329,0.767410448,2.790583447,4.5355494,1.062743401,0.249015816,-0.00443204,-0.000157116,0.001003213,0.004278139,0.007583817,0.335444165,-0.53535778,0.022702353,0.007090109,-0.000425173,0,-0.00070954
Co0.06133296Ti0.296573669Zr0.642093371Cr0.0,0.06133296,0.296573669,0.642093371,0,0.387164062,3,-0.147871939,-0.070039069,-0.082410732,0.065088685,1.637653493,0.012110946,4.655662459,1.147646523,-0.006785402,76.38496478,76.38496478,-1.601638806,0.109877431,0.155275912,4.3066648,8.495814864,5.720717558,11,0,11,38.27534063,0.261991447,3.329750399,-0.022657448,76.38496478,4.3066648,4.642093371,18,33.86434548,0.2,1.493247358,0.55,1.426013598,2,2.3066648,0.464396486,0.535603514,0.012110946,0.015269306,0.039073317,0.056940686,0.084232384,3.54854812,-0.162391,-0.162391,0.018189741,0.190427987,0,-0.443615816,0.010356813,0.005771971,-0.005364006,0.106592712,0.019833534,0.056384478,5.343054833,-0.007787243,-0.518302681,5834.662845,-122.3411238,-0.175983957,0.017061318,0.668721306,36.58862682,48.60215726,62.92789314,0,0,421.0287469,10.02781188,0.872366126,-0.075443645,-1.730688338,328.9644391,19.99194012,83.55768068,609.5582186,6.772869096,0.298649472,0.821286047,0.784307479,2.852027197,4.6133296,1.071207028,0.24873239,0.006486665,0.000184926,0.000596622,0.002224861,0.00479625,0.298902668,-0.576252278,0.026370837,0.011679512,-0.000853513,0,0.001290939
Co0.061450642Ti0.281475877Zr0.657073481Cr0.0,0.061450642,0.281475877,0.657073481,0,0.406211987,3,-0.148104822,-0.070034892,-0.08208317,0.064793244,1.603901488,0.009931943,4.585712575,1.147555927,-0.006686048,77.0357597,77.0357597,-1.592612089,0.110211957,0.153841571,4.30725321,8.559174124,5.741635578,11,0,11,38.2018077,0.26302367,3.310274191,-0.022775381,77.0357597,4.30725321,4.657073481,18,34.13457587,0.2,1.49548849,0.55,1.422907787,2,2.30725321,0.464333045,0.535666955,0.009931943,0.015234439,0.018399697,0.058889258,0.079492419,3.549804695,-0.162391,-0.162391,0.017296873,0.184950334,0,-0.444314467,0.010372505,0.005748686,-0.005318435,0.103921981,0.015929858,0.045545035,5.262361646,-0.007672613,-0.51506475,5934.508273,-122.6880822,-0.175524895,0.016955181,0.662634602,36.86653022,49.14365867,63.15799136,0,0,420.2198847,10.04797966,0.870680466,-0.075392757,-1.754518794,331.8125233,20.0591947,83.82732266,614.4223656,6.826915174,0.299097698,0.82251867,0.782599283,2.845815575,4.61450642,1.071333909,0.248727868,0.005320214,0.000151308,0.000280309,0.001083544,0.00468125,0.282182563,-0.576456334,0.026370837,0.011365317,-0.000851408,0,0.001032147
Co0.061507204Ti0.266879559Zr0.671613237Cr0.0,0.061507204,0.266879559,0.671613237,0,0.416663365,3,-0.148196897,-0.069885443,-0.081649015,0.064457975,1.570578213,0.007809038,4.510091504,1.147467755,-0.006579754,77.66678583,77.66678583,-1.583639546,0.11048155,0.152233402,4.30753602,8.613166324,5.761965218,11,0,11,38.12829829,0.263919639,3.2872627,-0.022872504,77.66678583,4.30753602,4.671613237,18,34.39657429,0.2,1.497666625,0.55,1.41987367,2,2.30753602,0.46430256,0.53569744,0.007809038,0.015291653,0.0071508,0.062996149,0.077017503,3.550981267,-0.162391,-0.162391,0.016415015,0.179239845,0,-0.44459069,0.010356806,0.005706078,-0.00526293,0.101236292,0.012264704,0.035219474,5.175184571,-0.007550056,-0.511028346,6032.129621,-122.9961935,-0.174962952,0.016818982,0.655750863,37.10152418,49.62876477,63.3816174,0,0,419.4112812,10.06280674,0.867573187,-0.07518793,-1.776433898,334.5524775,20.12314229,84.08903827,619.1383371,6.879314857,0.299533325,0.823716644,0.780930518,2.839747339,4.61507204,1.071394881,0.248725693,0.004183281,0.000119413,0.000109348,0.000450473,0.004851806,0.273487711,-0.576647399,0.026370837,0.011024542,-0.000845623,0,0.000790558
Co0.061505379Ti0.252795185Zr0.685699437Cr0.0,0.061505379,0.252795185,0.685699437,0,0.425032408,3,-0.14815406,-0.069597189,-0.081114694,0.064086328,1.537710384,0.005744612,4.429533454,1.147382093,-0.006467285,78.27750098,78.27750106,-1.574676042,0.110688563,0.150469709,4.307526895,8.657974928,5.781686737,11,0,11,38.05498238,0.264683021,3.261030828,-0.022949426,78.27750098,4.307526895,4.685699436,18,34.65011675,0.2,1.499779647,0.55,1.416914947,2,2.307526895,0.464303543,0.535696457,0.005744612,0.015433269,0.024110231,0.062185967,0.081476977,3.552078789,-0.162391,-0.162391,0.015548264,0.173341516,0,-0.444462181,0.010311106,0.005645355,-0.005198343,0.098546211,0.00883355,0.025445952,5.082367364,-0.007420447,-0.506242897,6127.367165,-123.2617056,-0.174298629,0.016655276,0.648152319,37.29445986,50.05769881,63.5985541,0,0,418.6048062,10.07250772,0.863139493,-0.074838786,-1.796423717,337.1824407,20.18377634,84.34258985,623.7021015,6.93002335,0.299955929,0.824878806,0.779303221,2.833829894,4.615053789,1.071392913,0.248725763,0.003077368,8.87E-05,0.0003721,0.001499318,0.005066725,0.28941264,-0.576825627,0.026370837,0.010661436,-0.000836382,0,0.00056611
Co0.06144721Ti0.239228288Zr0.699324502Cr0.0,0.06144721,0.239228288,0.699324502,0,0.432703507,3,-0.147980114,-0.069174746,-0.080485429,0.063681452,1.505333271,0.003740153,4.344730543,1.14729899,-0.006349364,78.86759924,78.86759924,-1.565684767,0.110834956,0.148567296,4.30723605,8.693722499,5.800788586,11,0,11,37.98197514,0.265316544,3.231860043,-0.023006565,78.86759924,4.30723605,4.699324502,18,34.89507709,0.2,1.501826315,0.55,1.414033906,2,2.30723605,0.464334895,0.535665105,0.003740153,0.015651623,0.042972568,0.061105582,0.086557276,3.553098137,-0.162391,-0.162391,0.014699911,0.167298203,0,-0.443940343,0.010236487,0.005567559,-0.005125429,0.095861809,0.005630177,0.016249958,4.984704964,-0.007284619,-0.500759117,6220.09821,-123.4817987,-0.173532602,0.01646645,0.639914411,37.44591495,50.43044624,63.80867445,0,0,417.8017265,10.07724636,0.857465936,-0.074353999,-1.814472558,339.7013666,20.24109991,84.58784104,628.1113875,6.979015417,0.300365263,0.826004473,0.777718648,2.828067812,4.6144721,1.07133021,0.248728,0.00200347,5.85E-05,0.00067259,0.002625864,0.005289133,0.307546496,-0.576991159,0.026370837,0.010280008,-0.000823888,0,0.000358538
Co0.06133405Ti0.226182989Zr0.71248296Cr0.0,0.06133405,0.226182989,0.71248296,0,0.457362561,3,-0.147676765,-0.06862096,-0.079765441,0.063246249,1.473496002,0.001796765,4.256342997,1.147218478,-0.006226697,79.43685829,79.43685821,-1.556639982,0.110922216,0.146541687,4.30667025,8.720456859,5.819262482,11,0,11,37.90935518,0.265821786,3.200001752,-0.023044131,79.43685829,4.30667025,4.712482961,18,35.13136354,0.2,1.503805742,0.55,1.411232155,2,2.30667025,0.464395898,0.535604102,0.001796765,0.015939169,0.033892828,0.061510507,0.087110295,3.554039838,-0.162391,-0.162391,0.013872719,0.161151526,0,-0.443030295,0.010133721,0.005473581,-0.005044865,0.093193095,0.002647525,0.007647646,4.882955334,-0.007143382,-0.494629244,6310.214448,-123.6545896,-0.172665957,0.016254729,0.631106722,37.55613212,50.74662743,64.0118873,0,0,417.002907,10.07713249,0.85063018,-0.073741259,-1.830553353,342.1083544,20.29511017,84.82469329,632.3645438,7.026272709,0.300761148,0.827093158,0.776177685,2.822464311,4.613340501,1.071208203,0.248732348,0.000962354,2.86E-05,0.000540224,0.002084765,0.005358198,0.309593459,-0.577144083,0.026370837,0.009884076,-0.000808321,0,0.000167446
Co0.06116686Ti0.213658822Zr0.725174318Cr0.0,0.06116686,0.213658822,0.725174318,0,0.457234681,3,-0.147244333,-0.067937508,-0.078958339,0.06278331,1.442245945,-8.52E-05,4.164977503,1.147140555,-0.006099939,79.98526731,79.98526731,-1.547522887,0.110951576,0.144406902,4.3058343,8.738198298,5.83710729,11,0,11,37.83716072,0.266199809,3.16567856,-0.023062229,79.98526731,4.3058343,4.725174318,18,35.35897202,0.2,1.505717805,0.55,1.408510126,2,2.3058343,0.464486058,0.535513942,-8.52E-05,0.016288632,0.016833919,0.06329237,0.08895001,3.554904517,-0.162391,-0.162391,0.013068839,0.154939891,0,-0.441733,0.010003413,0.005364233,-0.004957266,0.090548974,-0.000122916,-0.000354962,4.777814603,-0.006997487,-0.487905256,6397.642986,-123.7790318,-0.171700103,0.016022173,0.621792192,37.62523395,51.00580098,64.20818019,0,0,416.2087679,10.07224495,0.842703027,-0.073007602,-1.844638514,344.4033075,20.34581765,85.05313772,636.4614964,7.071794405,0.301143561,0.828144793,0.774680569,2.817020251,4.6116686,1.071027884,0.24873876,-4.56E-05,-1.39E-06,0.000274202,0.001065459,0.005629857,0.316208794,-0.577284499,0.026370837,0.009477187,-0.000789853,0,-7.72E-06
Co0.060946057Ti0.201653768Zr0.737400175Cr0.0,0.060946057,0.201653768,0.737400175,0,0.459028188,3,-0.146681435,-0.067124659,-0.078067054,0.062294936,1.41163725,-0.001905859,4.071196308,1.147065204,-0.005969715,80.51290034,80.51290034,-1.538325054,0.110923845,0.142175531,4.304730285,8.746908056,5.854325059,11,0,11,37.76539888,0.266450719,3.129083047,-0.023060797,80.51290034,4.304730285,4.737400175,18,35.57793344,0.2,1.507562723,0.55,1.405867623,2,2.304730285,0.464605183,0.535394817,-0.001905859,0.016693058,0.00721107,0.067691203,0.087562931,3.555692557,-0.162391,-0.162391,0.012290002,0.148699524,0,-0.440044305,0.009845941,0.005240224,-0.004863182,0.087937853,-0.002690381,-0.007759125,4.669927622,-0.006847652,-0.480639078,6482.327121,-123.8550118,-0.170636929,0.015770656,0.612027312,37.65308001,51.20724302,64.39757565,0,0,415.4193877,10.06261769,0.833746428,-0.07215915,-1.856691668,346.5863204,20.39323001,85.27320315,640.4028018,7.115586687,0.301512545,0.829159498,0.773227192,2.811735245,4.60946057,1.070789635,0.248747207,-0.001020387,-3.18E-05,0.000120375,0.000488126,0.00592724,0.311346862,-0.57741247,0.026370837,0.00906265,-0.000768644,0,-0.000167597
Co0.060670972Ti0.190157623Zr0.749171404Cr0.0,0.060670972,0.190157623,0.749171404,0,0.470402868,3,-0.145983726,-0.06617992,-0.077092792,0.061782709,1.381718266,-0.003666662,3.975447865,1.146992345,-0.005836528,81.0202214,81.02022132,-1.529046371,0.110839063,0.139856771,4.30335486,8.746434367,5.87093132,11,0,11,37.69398834,0.266573062,3.090340171,-0.023039478,81.0202214,4.30335486,4.749171405,18,35.78844015,0.2,1.509342162,0.55,1.403302136,2,2.30335486,0.464753678,0.535246322,-0.003666662,0.017146192,0.019587375,0.074520117,0.091252156,3.556404253,-0.162391,-0.162391,0.011537048,0.142460653,0,-0.437951177,0.009661191,0.005101995,-0.004763002,0.085366297,-0.005066294,-0.014576624,4.55980827,-0.006694453,-0.472876761,6564.27627,-123.8836754,-0.169478067,0.015501593,0.601853314,37.63901084,51.34971546,64.58024451,0,0,414.6338717,10.04820191,0.823801443,-0.071199824,-1.866663588,348.6587636,20.43736985,85.48508529,644.1919226,7.157688029,0.301868432,0.830138189,0.771816175,2.806604271,4.606709721,1.070492644,0.248757697,-0.001962567,-6.29E-05,0.000335849,0.001459653,0.006800121,0.324529557,-0.577528043,0.026370837,0.008643226,-0.000744808,0,-0.000313009
Co0.060340581Ti0.179161602Zr0.760497816Cr0.0,0.060340581,0.179161602,0.760497816,0,0.468381486,3,-0.145145724,-0.065099953,-0.076036617,0.061247976,1.352543794,-0.005369053,3.87814732,1.146921904,-0.005700863,81.50764448,81.5076444,-1.5196975,0.110696864,0.137458785,4.301702905,8.736576446,5.886940276,11,0,11,37.6228401,0.266564465,3.04955361,-0.022997777,81.50764448,4.301702905,4.760497817,18,35.99066361,0.2,1.511057643,0.55,1.400811256,2,2.301702905,0.464932155,0.535067845,-0.005369053,0.017642209,0.034816194,0.077657721,0.092687803,3.55703955,-0.162391,-0.162391,0.010810715,0.136252007,0,-0.435437172,0.00944898,0.00494998,-0.004657089,0.08284057,-0.007261879,-0.020821978,4.44793211,-0.006538445,-0.464663941,6643.496102,-123.8669634,-0.168225748,0.015216256,0.591306853,37.58215628,51.43170376,64.75634304,0,0,413.8512411,10.02891224,0.812902626,-0.070132955,-1.874494664,350.6216711,20.47824729,85.6889607,647.8319449,7.198132721,0.302211529,0.831081704,0.770446191,2.801622512,4.603405811,1.070135691,0.248770246,-0.002872808,-9.47E-05,0.000614235,0.002703746,0.007197924,0.329694182,-0.57763121,0.026370837,0.008221525,-0.000718468,0,-0.000444775
